"Chapter" "Word"
2 "for"
2 "his"
2 "gentleness"
2 "and"
2 "the"
2 "mildness"
2 "of"
2 "his"
2 "discipline"
2 "this"
2 "circumstance"
2 "added"
2 "to"
2 "his"
2 "well"
2 "known"
2 "integrity"
2 "and"
2 "dauntless"
2 "courage"
2 "made"
2 "me"
2 "very"
2 "desirous"
2 "to"
2 "engage"
2 "him"
2 "a"
2 "youth"
2 "passed"
2 "in"
2 "solitude"
2 "my"
2 "best"
2 "years"
2 "spent"
2 "under"
2 "your"
2 "gentle"
2 "and"
2 "feminine"
2 "fosterage"
2 "has"
2 "so"
2 "refined"
2 "the"
2 "groundwork"
2 "of"
2 "my"
2 "character"
2 "that"
2 "i"
2 "cannot"
2 "overcome"
2 "an"
2 "intense"
2 "distaste"
2 "to"
2 "the"
2 "usual"
2 "brutality"
2 "exercised"
2 "on"
2 "board"
2 "ship"
2 "i"
2 "have"
2 "never"
2 "believed"
2 "it"
2 "to"
2 "be"
2 "necessary"
2 "and"
2 "when"
2 "i"
2 "heard"
2 "of"
2 "a"
2 "mariner"
2 "equally"
2 "noted"
2 "for"
2 "his"
2 "kindliness"
2 "of"
2 "heart"
2 "and"
2 "the"
2 "respect"
2 "and"
2 "obedience"
2 "paid"
2 "to"
2 "him"
2 "by"
2 "his"
2 "crew"
2 "i"
2 "felt"
2 "myself"
2 "peculiarly"
2 "fortunate"
2 "in"
2 "being"
2 "able"
2 "to"
2 "secure"
2 "his"
2 "services"
2 "i"
2 "heard"
2 "of"
2 "him"
2 "first"
2 "in"
2 "rather"
2 "a"
2 "romantic"
2 "manner"
2 "from"
2 "a"
2 "lady"
2 "who"
2 "owes"
2 "to"
2 "him"
2 "the"
2 "happiness"
2 "of"
2 "her"
2 "life"
2 "this"
2 "briefly"
2 "is"
2 "his"
2 "story"
2 "some"
2 "years"
2 "ago"
2 "he"
2 "loved"
2 "a"
2 "young"
2 "russian"
2 "lady"
2 "of"
2 "moderate"
2 "fortune"
2 "and"
2 "having"
2 "amassed"
2 "a"
2 "considerable"
2 "sum"
2 "in"
2 "prize"
2 "money"
2 "the"
2 "father"
2 "of"
2 "the"
2 "girl"
2 "consented"
2 "to"
2 "the"
2 "match"
2 "he"
2 "saw"
2 "his"
2 "mistress"
2 "once"
2 "before"
2 "the"
2 "destined"
2 "ceremony"
2 "but"
2 "she"
2 "was"
2 "bathed"
2 "in"
2 "tears"
2 "and"
2 "throwing"
2 "herself"
2 "at"
2 "his"
2 "feet"
2 "entreated"
2 "him"
2 "to"
2 "spare"
2 "her"
2 "confessing"
2 "at"
2 "the"
2 "same"
2 "time"
2 "that"
2 "she"
2 "loved"
2 "another"
2 "but"
2 "that"
2 "he"
2 "was"
2 "poor"
2 "and"
2 "that"
2 "her"
2 "father"
2 "would"
2 "never"
2 "consent"
2 "to"
2 "the"
2 "union"
2 "my"
2 "generous"
2 "friend"
2 "reassured"
2 "the"
2 "suppliant"
2 "and"
2 "on"
2 "being"
2 "informed"
2 "of"
2 "the"
2 "name"
2 "of"
2 "her"
2 "lover"
2 "instantly"
2 "abandoned"
2 "his"
2 "pursuit"
2 "he"
2 "had"
2 "already"
2 "bought"
2 "a"
2 "farm"
2 "with"
2 "his"
2 "money"
2 "on"
2 "which"
2 "he"
2 "had"
2 "designed"
2 "to"
2 "pass"
2 "the"
2 "remainder"
2 "of"
2 "his"
2 "life"
2 "but"
2 "he"
2 "bestowed"
2 "the"
2 "whole"
2 "on"
2 "his"
2 "rival"
2 "together"
2 "with"
2 "the"
2 "remains"
2 "of"
2 "his"
2 "prize"
2 "money"
2 "to"
2 "purchase"
2 "stock"
2 "and"
2 "then"
2 "himself"
2 "solicited"
2 "the"
2 "young"
2 "woman"
2 "s"
2 "father"
2 "to"
2 "consent"
2 "to"
2 "her"
2 "marriage"
2 "with"
2 "her"
2 "lover"
2 "but"
2 "the"
2 "old"
2 "man"
2 "decidedly"
2 "refused"
2 "thinking"
2 "himself"
2 "bound"
2 "in"
2 "honour"
2 "to"
2 "my"
2 "friend"
2 "who"
2 "when"
2 "he"
2 "found"
2 "the"
2 "father"
2 "inexorable"
2 "quitted"
2 "his"
2 "country"
2 "nor"
2 "returned"
2 "until"
2 "he"
2 "heard"
2 "that"
2 "his"
2 "former"
2 "mistress"
2 "was"
2 "married"
2 "according"
2 "to"
2 "her"
2 "inclinations"
2 "what"
2 "a"
2 "noble"
2 "fellow"
2 "you"
2 "will"
2 "exclaim"
2 "he"
2 "is"
2 "so"
2 "but"
2 "then"
2 "he"
2 "is"
2 "wholly"
2 "uneducated"
2 "he"
2 "is"
2 "as"
2 "silent"
2 "as"
2 "a"
2 "turk"
2 "and"
2 "a"
2 "kind"
2 "of"
2 "ignorant"
2 "carelessness"
2 "attends"
2 "him"
2 "which"
2 "while"
2 "it"
