Date,OPEN,HIGH,LOW,LAST,VOLUME
11/2/2009,13546.14,13600.02,13363.06,13539.21,1808347136
12/2/2009,13439.58,13478.66,13174.01,13228.3,1755975552
13/2/2009,13314.81,13576.32,13314.02,13554.67,1546686848
16/2/2009,13559.82,13559.82,13257.35,13455.88,1357585792
17/2/2009,13195.51,13195.51,12933.91,12945.4,2353246464
18/2/2009,12783.79,13031.28,12712.33,13016,2274484480
19/2/2009,12873.1,13055.72,12788.08,13023.36,1587147136
20/2/2009,12719.14,12816.79,12669.57,12699.17,2053331712
23/2/2009,12777.96,13207.98,12777.96,13175.1,1931112192
24/2/2009,12789.29,12814.37,12634.84,12798.52,2134846592
25/2/2009,12979.86,13148.31,12858.28,13005.08,1779065472
26/2/2009,13070.41,13071.58,12691.96,12894.94,1974608384
27/2/2009,12929.99,13032.3,12799.81,12811.57,2698380800
2/3/2009,12522.61,12576.45,12296.86,12317.46,2194792960
3/3/2009,11967.07,12192.35,11849.17,12033.88,2342796800
4/3/2009,11880.17,12423.69,11880.17,12331.15,2882809600
5/3/2009,12488.33,12488.33,12163.55,12211.24,2667965952
6/3/2009,12041.82,12146.16,11921.52,11921.52,4178094336
9/3/2009,11872.46,11927.89,11344.58,11344.58,2071525376
10/3/2009,11542.88,11747.11,11542.88,11694.05,1845681280
11/3/2009,12228.22,12228.22,11904.61,11930.66,2685849856
12/3/2009,11905.47,12040.84,11848.5,12001.53,1457479808
13/3/2009,12395.18,12525.8,12303.7,12525.8,2857842944
16/3/2009,12657.87,12976.71,12615.45,12976.71,2779294976
17/3/2009,12948.85,13226.31,12854.05,12878.09,2896963584
18/3/2009,13052.95,13167.2,13020.8,13117.17,1768493824
19/3/2009,13205.17,13205.17,12947.9,13130.92,2040964608
20/3/2009,13157.9,13157.9,12797.1,12833.51,2073348224
23/3/2009,13001.55,13451.02,13001.55,13447.42,2679863808
24/3/2009,13773.17,13952.98,13538.16,13910.34,2913007104
25/3/2009,13754.77,13892.88,13567.45,13622.11,3186137856
26/3/2009,13821.28,14132.09,13819.1,14108.98,4821728256
27/3/2009,14257.56,14257.56,13955.66,14119.5,3396915200
30/3/2009,13893.15,13893.15,13413.48,13456.33,2885519616
31/3/2009,13545.36,13696.69,13428.31,13576.02,2854888704
1/4/2009,13746.18,13788.41,13411.79,13519.54,2753372416
2/4/2009,13963.34,14533.34,13953.56,14521.97,3402815744
3/4/2009,14547.52,14644.82,14392.19,14545.69,3078651136
6/4/2009,14920.84,15147.06,14778.51,14998.04,2555280640
7/4/2009,14922.09,14994.76,14743.71,14928.97,2558886144
8/4/2009,14715.7,14715.7,14276.35,14474.86,2944789248
9/4/2009,14677.85,14987.41,14656.16,14901.41,2609340160
14/4/2009,15302.14,15596.34,15140.39,15580.16,3643046656
15/4/2009,15344.59,15669.85,15213.39,15669.62,2529450240
16/4/2009,15928.82,15977.13,15517.39,15582.99,2684955904
17/4/2009,15956.46,15956.46,15541.31,15601.27,3095787008
20/4/2009,15574.32,15878.4,15382.96,15750.91,2565993984
21/4/2009,15065.59,15332.27,15065.59,15285.89,2426811136
22/4/2009,15328.83,15396.28,14830.59,14878.45,3069840640
23/4/2009,14958.24,15222.2,14867.59,15214.46,2008293504
24/4/2009,15217.37,15367.48,15062.29,15258.85,1792018432
27/4/2009,15160.69,15160.69,14798.9,14840.42,2331661056
28/4/2009,15057.25,15078.63,14457.99,14555.11,2818524928
29/4/2009,14767.92,14983.66,14714.51,14956.95,2413729792
30/4/2009,15369.11,15587.29,15204.1,15520.99,2932896768
4/5/2009,15869.28,16387.12,15855.24,16381.05,3324975616
5/5/2009,16572,16580.54,16295.86,16430.08,2520504064
6/5/2009,16348.76,16885.92,16268.03,16834.57,3042115328
7/5/2009,17278.31,17327.52,16880.6,17217.89,4411458048
8/5/2009,17149.31,17442.96,16970.2,17389.87,3886270464
11/5/2009,17381,17685.64,17032.44,17087.95,3722382848
12/5/2009,16996.21,17239.65,16908.06,17153.64,4029461760
13/5/2009,17097.82,17372.15,17014.86,17059.62,20433285120
14/5/2009,16630.33,16630.33,16422.28,16541.69,2962198528
15/5/2009,16818.81,16953.41,16736.18,16790.7,1984981888
18/5/2009,16468.71,17062.49,16334.36,17022.91,2397278208
19/5/2009,17454.23,17588.93,17376.43,17544.03,2813044224
20/5/2009,17486.39,17611,17362.37,17475.84,2308513024
21/5/2009,17291.44,17415.26,17172.64,17199.49,1538977280
22/5/2009,17169.57,17299.26,16740.27,17062.52,1938446720
25/5/2009,16999.05,17264.42,16789,17121.82,1950193792
26/5/2009,17050.34,17283.89,16977.71,16991.56,2052219392
27/5/2009,17395.61,17984.02,17347.89,17885.27,4564272128
29/5/2009,18027.93,18227.79,17833.74,18171,4358553088
1/6/2009,18499.92,18895.8,18415.41,18888.59,4124671232
2/6/2009,18916.61,18916.61,18300.62,18389.08,3931136512
3/6/2009,18616.94,18967.39,18508.3,18576.47,3094560768
4/6/2009,18417.9,18522.39,18108.8,18502.77,2683257600
5/6/2009,18674.48,18722.49,18406.86,18679.53,2501280256
8/6/2009,18521.79,18636.15,18236.05,18253.39,1987375104
9/6/2009,18450.64,18475.51,17710.45,18058.49,2174882816
10/6/2009,18339.91,18789.85,18258.16,18785.66,4432226304
11/6/2009,18578.89,18883.24,18564.87,18791.03,3641989120
12/6/2009,19034.79,19161.97,18707.19,18889.68,3599443712
15/6/2009,18712.06,18872.74,18433.3,18498.96,2357620224
16/6/2009,18235.97,18314.96,17859.74,18165.5,2924104448
17/6/2009,17984.83,18255.13,17833.77,18084.6,2914147840
18/6/2009,17955.68,18069.76,17655.82,17776.66,2355698944
19/6/2009,17936.33,18015.11,17759.86,17920.93,3085692928
22/6/2009,17906.39,18398.92,17906.39,18059.55,2592021760
23/6/2009,17577.73,17682.87,17375.96,17538.37,2865900800
24/6/2009,17583.35,17912.07,17484.06,17892.15,2222041856
25/6/2009,18140.16,18340.91,18069.37,18275.03,2319823104
26/6/2009,18408.37,18688.11,18360.71,18600.26,2258491136
29/6/2009,18561.11,18687.36,18451.76,18528.51,1634699008
30/6/2009,18883.24,18883.24,18364.81,18378.73,2417089536
2/7/2009,18780.96,18780.96,18053.1,18178.05,2287380736
3/7/2009,17961.18,18234.24,17894.81,18203.4,1540802688
6/7/2009,18020.1,18258.26,17897.68,17979.41,1780126976
7/7/2009,17943.49,18159.99,17821.71,17862.27,1497758208
8/7/2009,17652.98,17819.31,17493.62,17721.07,2001905024
9/7/2009,17793.61,17836.95,17509.28,17790.59,2156977920
10/7/2009,17800.05,17851.22,17645.55,17708.42,1605581568
13/7/2009,17612.45,17612.45,17185.96,17254.63,2006182656
14/7/2009,17631.67,17896.36,17581.43,17885.73,1845729408
15/7/2009,18042.59,18289,18030.1,18258.66,1762560000
16/7/2009,18688.87,18700.6,18303.58,18361.87,1949801984
17/7/2009,18551.91,18855.86,18457.42,18805.66,2505065216
20/7/2009,19005.19,19506.42,18960.54,19502.37,2442707968
21/7/2009,19601.86,19601.86,19295.23,19501.73,1844253440
22/7/2009,19560.42,19641.75,19224.05,19248.17,2064229888
23/7/2009,19431.92,19824.18,19415.37,19817.7,2305716480
24/7/2009,20063.93,20063.93,19715.15,19982.79,2234934784
27/7/2009,20170.73,20385.69,20096.17,20251.62,2201469696
28/7/2009,20261.94,20664.48,20109.55,20624.54,2356169984
29/7/2009,20404.51,20542.61,19787.48,20135.5,2523090432
30/7/2009,20150.26,20359.79,19955.32,20234.08,1990153344
31/7/2009,20546.07,20712.66,20474.05,20573.33,1930548352
3/8/2009,20582.68,20816.61,20449.19,20807.26,1928430592
4/8/2009,21196.75,21196.75,20748.61,20796.43,2573901312
5/8/2009,20779.77,20995.81,20436.65,20494.77,2263931392
6/8/2009,20484.34,20904.93,20339.87,20899.24,2427897856
7/8/2009,20708.12,20759.56,20316.78,20375.37,2809797632
10/8/2009,20758.52,21010.47,20730.41,20929.52,2169074688
11/8/2009,20774.97,21088.07,20733.34,21074.21,1627757824
12/8/2009,20725.9,20725.9,20417.76,20435.24,2251774976
13/8/2009,20767.86,20943.86,20746.92,20861.3,1934519808
14/8/2009,21023.96,21037.17,20639.56,20893.33,1744617472
17/8/2009,20467.3,20471.77,20058.1,20137.65,2556880128
18/8/2009,20125.55,20409.19,19916.28,20306.27,2038144128
19/8/2009,20195.09,20352.94,19824.86,19954.23,2101215872
20/8/2009,20282.72,20465.22,20196.33,20328.86,1799799680
21/8/2009,20288.56,20439.42,20002.78,20199.02,1665136512
24/8/2009,20649.96,20649.96,20433.61,20535.94,1935030400
25/8/2009,20246.79,20476.25,20143.51,20435.24,1531430144
26/8/2009,20542.76,20576.6,20401.74,20456.32,1435011584
27/8/2009,20289.34,20364.4,20147.34,20242.75,1672622976
28/8/2009,20409.13,20409.13,20004.7,20098.62,1764731264
31/8/2009,19827.13,19827.13,19592.07,19724.19,2268140032
1/9/2009,19961.74,19961.74,19734.27,19872.3,1403811328
2/9/2009,19560.27,19611.07,19425.86,19522,1666625920
3/9/2009,19526.89,19823.03,19526.89,19761.68,1580087936
4/9/2009,19830.02,20413.61,19744.45,20318.62,3108457216
7/9/2009,20502.85,20667.58,20446.16,20629.31,2267315200
8/9/2009,20617.4,21133.71,20617.4,21069.81,2797284096
9/9/2009,21085.09,21085.09,20825.16,20851.04,1540920960
10/9/2009,21131.08,21322.55,21020.92,21069.56,2224480768
11/9/2009,21122.31,21306.11,20980.15,21161.42,1773975808
14/9/2009,20841.51,21045,20821.59,20932.2,1253310976
15/9/2009,21049.22,21049.22,20819.93,20866.37,713488448
16/9/2009,21086.75,21403.13,20950.38,21402.92,2263703552
17/9/2009,21674.71,21929.79,21636.52,21768.51,2512407552
18/9/2009,21640.97,21765.98,21515.93,21623.45,2002593664
21/9/2009,21574.94,21730.71,21457.35,21472.85,1525122688
22/9/2009,21556.69,21704.14,21491.69,21701.14,1130706048
23/9/2009,21655.62,21742.39,21524.33,21595.52,1171918464
24/9/2009,21386.47,21399.23,20963.37,21050.73,2069933824
25/9/2009,20810.81,21065.73,20766.46,21024.4,1265650944
28/9/2009,20798.52,20829.51,20534.82,20588.41,1258607232
29/9/2009,20889.81,21087.25,20889.81,21013.17,1303147904
30/9/2009,20981.13,21090.49,20792.98,20955.25,1120802560
2/10/2009,20380.23,20470.92,20323.59,20375.49,1855212928
5/10/2009,20342.58,20489.95,20305.06,20429.07,1232002944
6/10/2009,20509.64,20824.13,20509.64,20811.53,1441085056
7/10/2009,21074.98,21343.75,21072.59,21241.59,2029142400
8/10/2009,21418.27,21524.05,21284.42,21492.9,1407628160
9/10/2009,21572.7,21572.7,21421.77,21499.44,1390745216
12/10/2009,21623.33,21623.33,21262.71,21299.35,1010812160
13/10/2009,21371.82,21679.15,21371.82,21467.36,1821994496
14/10/2009,21564.33,21893.42,21562.66,21886.48,2012519936
15/10/2009,22209.19,22250.35,21971.48,21999.08,2154508032
16/10/2009,22138.06,22143.01,21899.17,21929.9,2142512512
19/10/2009,21761.83,22250.23,21761.83,22200.46,1527458560
20/10/2009,22260.41,22451.62,22260.41,22384.96,1846967040
21/10/2009,22299.65,22407.14,22200.64,22318.11,1399452800
22/10/2009,22237.37,22266.74,22002.79,22210.52,1706795008
23/10/2009,22438.9,22620.01,22407.4,22589.73,2119026816
27/10/2009,22016.79,22277.06,22016.79,22169.59,1680305792
28/10/2009,22004.55,22149.04,21740.33,21761.58,1739942144
29/10/2009,21290.09,21346.55,21134.33,21264.99,2279739392
30/10/2009,21720.41,21953.59,21720.41,21752.87,2177434368
2/11/2009,21194.12,21632.9,21130.9,21620.19,1722584064
3/11/2009,21598.63,21684.73,21223.42,21240.06,1458859008
4/11/2009,21396.5,21699.84,21360.66,21614.77,1403161216
5/11/2009,21405.06,21549.1,21372.99,21479.08,1261955200
6/11/2009,21866.72,21931.36,21780.57,21829.72,1524134912
9/11/2009,22004.51,22214.85,21941.62,22207.55,1662950400
10/11/2009,22556.56,22556.56,22200.24,22268.16,1699836288
11/11/2009,22534.14,22643.66,22396.04,22627.21,1321250304
12/11/2009,22660.47,22707.36,22359.09,22397.57,1415963776
13/11/2009,22381.34,22585.53,22343.99,22553.63,1424375296
16/11/2009,22789.99,22998.85,22770.69,22943.98,1663684480
17/11/2009,23000.37,23000.37,22798.02,22914.15,1263504896
18/11/2009,22974.36,23099.57,22645.74,22840.33,1646321280
19/11/2009,22894.84,22894.84,22587.18,22643.16,1302322432
20/11/2009,22486.56,22584.55,22376.36,22455.84,1444953472
23/11/2009,22541.69,22794.13,22490.34,22771.39,1136305792
24/11/2009,22697.62,22813.93,22395.38,22423.14,1780954880
25/11/2009,22505.93,22638.89,22336.07,22611.8,2905057024
26/11/2009,22580.25,22580.25,22108.26,22210.41,2298765824
27/11/2009,21623.92,21685.13,21002.49,21134.5,3974764288
30/11/2009,21687.69,21924.08,21687.69,21821.5,2028632448
1/12/2009,21813.42,22130.75,21789.41,22113.15,1442550912
